,,,,,,,,,,,,,
,BUTTWELD FITTINGS  —  20 PRODUCTS,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,1.  SS 304L / 316L 90° & 45° Buttweld Pipe Elbows,,,,,,,,,,,,
,Product ID,bw-ss-elbow,,,,,,,,,,,
,Sub-Category,Stainless Steel Buttweld Fittings,,,,,,,,,,,
,Card Spec Chips,ASME B16.9  |  Seamless & Welded  |  Sch 10S to Sch 160,,,,,,,,,,,
,Image File,/images/products/bw-ss-elbow.jpg,,,,,,,,,,,
,Price Shown (INR/Kg),₹320 INR / Kg,,,,,,,,,,,
,Data Source,PUBLISHED — real spec tables (SS 304/304L/304H Buttweld Fittings),,,,,,,,,,,
,Source Reference,https://www.champaksteel.com/stainless-steel-304-304l-304h-buttweld-fittings-manufacturer-exporter.html,,,,,,,,,,,
,Live Page,https://jyothi-metals.vercel.app/product-detail?id=bw-ss-elbow,,,,,,,,,,,
,,,,,,,,,,,,,
,TAB 1 — EQUIVALENT GRADES:  304/304L/304H Stainless Steel ASTM A403 Buttweld Fittings Equivalent Grades,,,,,,,,,,,,
,STANDARD,UNS,WNR.,AFNOR,EN,JIS,BS,GOST,,,,,
,Dimensions,"ASME/ANSI B16.9, ASME B16.28, MSS-SP-43, BS4504, BS4504, BS1560, BS10 ASME 16.11, MSS SP-79, 83, 95, 97, BS 3799",,,,,,,,,,,
,Size,"Seamless Butt Weld Fittings : 1/2"" - 10"" | Welded Butt Weld Fittings : 1/2"" - 48""",,,,,,,,,,,
,Schedule,"SCH10, SCH20, SCH30, STD SCH40, SCH60, XS, SCH 80, SCH 100, SCH 120, SCH 140, SCH 160, XXS available with NACE MR 01-75",,,,,,,,,,,
,Bending Radius,"R=1D, 2D, 3D, 5D, 6D, 8D, 10D or Custom",,,,,,,,,,,
,Type,Seamless / ERW / Welded / Fabricated,,,,,,,,,,,
,Thickness,"20 Swg., 18 Swg., 16 Swg., 14 Swg., 12 Swg., 10 Swg., & Sch. 10, Sch. 40, Sch. 80 etc.",,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,4.  SS 317/317L Buttweld Fittings,,,,,,,,,,,,
,Product ID,stainless-steel-317-317l-buttweld-fittings,,,,,,,,,,,
,Sub-Category,Stainless Steel Buttweld Fittings,,,,,,,,,,,
,Card Spec Chips,ASTM A403  |  UNS S31700  |  W.Nr. 1.4449,,,,,,,,,,,
,Image File,/images/products/stainless-steel-317-317l-buttweld-fittings.jpg,,,,,,,,,,,
,Price Shown (INR/Kg),₹280 INR / Kg,,,,,,,,,,,
,Data Source,PUBLISHED — real spec tables (Stainless Steel 317/ 317L Buttweld Fittings),,,,,,,,,,,
,Source Reference,https://www.champaksteel.com/stainless-steel-317-317l-buttweld-fittings-manufacturer-exporter.html,,,,,,,,,,,
,Live Page,https://jyothi-metals.vercel.app/product-detail?id=stainless-steel-317-317l-buttweld-fittings,,,,,,,,,,,
,,,,,,,,,,,,,
,TAB 1 — EQUIVALENT GRADES:  317/ 317L Stainless Steel ASTM A403 Buttweld Fittings Equivalent Grades,,,,,,,,,,,,
,STANDARD,UNS,WNR.,EN,JIS,,,,,,,,
,SS 317,S31700,1.4449,-,SUS 317,,,,,,,,
,SS 317L,S31703,1.4438,X2CrNiMo18-15-4,SUS 317L,,,,,,,,
,,,,,,,,,,,,,
,TAB 2 — CHEMICAL COMPOSITION:  Chemical Composition of Stainless Steel 317/ 317L Seamless and Welded Pipe Fittings,,,,,,,,,,,,
,Grade,C,Mn,Si,P,S,Cr,Mo,Ni,N,,,
,317,0.08 max,2 max,1 max,0.040 max,0.03 max,18 to 20,3 to 4,11 to 14,-,,,
,317L,0.035 max,2 max,1 max,0.040 max,0.03 max,18 to 20,3 to 4,11 to 15,-,,,
,,,,,,,,,,,,,
,TAB 3 — MECHANICAL PROPERTIES:  Mechanical Properties Of ASME SA403 SS WP317 / 317L Buttweld Pipe Fittings,,,,,,,,,,,,
,Density,8.0 g/cm3,,,,,,,,,,,
,Melting Point,1454 °C (2650 °F),,,,,,,,,,,
,Tensile Strength,"Psi to 75000 , MPa to 515",,,,,,,,,,,
,Yield Strength (0.2%Offset),"Psi to 30000 , MPa to 205",,,,,,,,,,,
,Elongation,35 %,,,,,,,,,,,
,,,,,,,,,,,,,
,TAB 4 — PHYSICAL PROPERTIES:  Physical Properties of ASTM A403 Stainless Steel 317 / 317L Pipe Fittings,,,,,,,,,,,,
,Physical Properties (Room Temperature),,,,,,,,,,,,
,Specific Heat (0-100°C),500,J.kg-1.°K-1,,,,,,,,,,
,Thermal Conductivity,14.6,W.m -1.°K-1,,,,,,,,,,
,Thermal Expansion,16.5,mm/m/°C,,,,,,,,,,
,Modulus Elasticity,193,GPa,,,,,,,,,,
,Electrical Resistivity,7.4,Î¼ohm/cm,,,,,,,,,,
,Density,7.99,g/cm3,,,,,,,,,,
,,,,,,,,,,,,,
,TAB 5 — CERTIFIED APPLICATION INDUSTRIES,,,,,,,,,,,,
,1.  Petrochemical Industry,,,,,,,,,,,,
,2.  Oil and Gas Industry,,,,,,,,,,,,
,3.  Chemical Industry,,,,,,,,,,,,
,4.  Power Plant Industry,,,,,,,,,,,,
,5.  Energy Industry,,,,,,,,,,,,
,6.  Pharmaceuticals Industry,,,,,,,,,,,,
,7.  Pulp & Paper Industry,,,,,,,,,,,,
,8.  Food Processing Industry,,,,,,,,,,,,
,9.  Aerospace Industry,,,,,,,,,,,,
,10.  Refining Industry,,,,,,,,,,,,
,,,,,,,,,,,,,
,MANUFACTURING STANDARDS & SPECIFICATION:  Specification of SS 317/ 317L Buttweld Fittings,,,,,,,,,,,,
,Specifications,ASTM A403 / ASME SA403,,,,,,,,,,,
